*	~	         4	       180	178,03961	0,00369447	95		0,97
*	~	         7	       178	156,19590	0,025678	68		0,92
*	~	        10	       164	170,23384	0,00739387	92		0,96
*	~	        18	       108	360,75415	2,78688e-10	52		0,88
*	~	        19	       107	244,37219	9,9321e-06	66		0,91
*	~	        20	       105	336,95943	2,36697e-09	80		0,94
*	~	        21	       104	539,87486	2,67474e-17	135		1,00
*	~	        22	       103	451,98620	7,43191e-14	136		1,00
*	~	        25	       102	433,86500	3,81468e-13	138		1,00
*	~	        28	       101	445,84120	1,30639e-13	106		0,98
*	~	        45	        95	193,45466	0,000945164	42		0,84
*	~	        58	        88	438,92480	2,4295e-13	84		0,95
*	~	        59	        87	256,10886	3,42357e-06	47		0,86
*	~	        60	        86	454,17943	6,10036e-14	56		0,89
*	~	        68	        84	197,78706	0,00063982	29		0,74
*	~	        96	        99	194,35565	0,000869374	56		0,89
*	~	       124	       151	309,95070	2,73482e-08	54		0,88
*	~	       127	       148	468,52807	1,66657e-14	120		1,00
*	~	       128	       147	275,04003	6,35937e-07	73		0,93
*	~	       129	       142	183,49554	0,00224011	99		0,97
*	~	       131	       141	155,60560	0,027135	87		0,95
